Treasure Class	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Act 2 Chest B	4					100	gld	15	Act 2 Junk	15	Act 2 Equip B	10	Act 2 Good	2													0
Act 2 Chest C	4					100	gld	15	Act 2 Junk	12	Act 3 Junk	3	Act 2 Equip C	15	Act 2 Good	2											0
Act 3 Chest A	4					100	gld	15	Act 3 Junk	15	Act 3 Equip A	10	Act 3 Good	2													0
Act 3 Chest B	4					100	gld	15	Act 3 Junk	15	Act 3 Equip B	10	Act 3 Good	2													0
Act 3 Chest C	4					100	gld	15	Act 3 Junk	15	Act 3 Equip C	10	Act 3 Good	2													0
Act 4 Chest A	4					100	gld	15	Act 4 Junk	15	Act 4 Equip A	10	Act 4 Good	2													0
Act 4 Chest B	4					100	gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2													0
Act 4 Chest C	4					100	gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2													0
Act 5 Chest A	4					100	gld	15	Act 5 Junk	15	Act 5 Equip A	10	Act 5 Good	2													0
Act 5 Chest B	4					100	gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2													0
Act 5 Chest C	4					100	gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2													0
Act 1 (N) Chest A	4					100	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip A	10	Act 1 (N) Good	2													0
Act 1 (N) Chest B	4					100	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2													0
Act 1 (N) Chest C	4					100	gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2													0
Act 2 (N) Chest A	4					100	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip A	10	Act 2 (N) Good	2													0
Act 2 (N) Chest B	4					100	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2													0
Act 2 (N) Chest C	4					100	gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2													0
Act 3 (N) Chest A	4					100	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip A	10	Act 3 (N) Good	2													0
Act 3 (N) Chest B	4					100	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2													0
Act 3 (N) Chest C	4					100	gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2													0
Act 4 (N) Chest A	4					100	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip A	10	Act 4 (N) Good	2													0
Act 4 (N) Chest B	4					100	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip B	10	Act 4 (N) Good	2													0
Act 4 (N) Chest C	4					100	gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip C	10	Act 4 (N) Good	2													0
Act 5 (N) Chest A	4					100	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip A	10	Act 5 (N) Good	2													0
Act 5 (N) Chest B	4					100	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2													0
Act 5 (N) Chest C	4					100	gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2													0
Act 1 (H) Chest A	4					100	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip A	10	Act 1 (H) Good	2													0
Act 1 (H) Chest B	4					100	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2													0
Act 1 (H) Chest C	4					100	gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2													0
Act 2 (H) Chest A	4					100	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip A	10	Act 2 (H) Good	2													0
Act 2 (H) Chest B	4					100	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2													0
Act 2 (H) Chest C	4					100	gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2													0
Act 3 (H) Chest A	4					100	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip A	10	Act 3 (H) Good	2													0
Act 3 (H) Chest B	4					100	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2													0
Act 3 (H) Chest C	4					100	gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2													0
Act 4 (H) Chest A	4					100	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip A	10	Act 4 (H) Good	2													0
Act 4 (H) Chest B	4					100	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2													0
Act 4 (H) Chest C	4					100	gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2													0
Act 5 (H) Chest A	4					100	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip A	10	Act 5 (H) Good	2													0
Act 5 (H) Chest B	4					100	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2													0
Act 5 (H) Chest C	4					100	gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2													0
Act 1 H2H A	1					180	gld	21	Act 1 Equip A	16	Act 1 Junk	21	Act 1 Good	2													0
Act 1 H2H B	1					180	gld	21	Act 1 Equip B	16	Act 1 Junk	21	Act 1 Good	2													0
Act 1 H2H C	1					180	gld	21	Act 1 Equip C	16	Act 1 Junk	21	Act 1 Good	2													0
Act 2 H2H A	1					180	gld	21	Act 2 Equip A	16	Act 2 Junk	21	Act 2 Good	2													0
Act 2 H2H B	1					180	gld	21	Act 2 Equip B	16	Act 2 Junk	21	Act 2 Good	2													0
Act 2 H2H C	1					180	gld	21	Act 2 Equip C	16	Act 2 Junk	21	Act 3 Good	2													0
Act 3 H2H A	1					180	gld	21	Act 3 Equip A	16	Act 3 Junk	21	Act 3 Good	2													0
Act 3 H2H B	1					180	gld	21	Act 3 Equip B	16	Act 3 Junk	21	Act 3 Good	2													0
Act 3 H2H C	1					180	gld	21	Act 3 Equip C	16	Act 3 Junk	21	Act 3 Good	2													0
Act 4 H2H A	1					180	gld	21	Act 4 Equip A	16	Act 4 Junk	21	Act 4 Good	2													0
Act 4 H2H B	1					180	gld	21	Act 4 Equip B	16	Act 4 Junk	21	Act 4 Good	2													0
Act 5 H2H A	1					180	gld	21	Act 5 Equip A	16	Act 5 Junk	21	Act 5 Good	2													0
Act 5 H2H B	1					180	gld	21	Act 5 Equip B	16	Act 5 Junk	21	Act 5 Good	2													0
Act 5 H2H C	1					180	gld	21	Act 5 Equip C	16	Act 5 Junk	21	Act 5 Good	2													0
Act 1 (N) H2H A	1					180	gld	21	Act 1 (N) Equip A	16	Act 1 (N) Junk	21	Act 1 (N) Good	2													0
Act 1 (N) H2H B	1					180	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2													0
Act 1 (N) H2H C	1					180	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2													0
Act 2 (N) H2H A	1					180	gld	21	Act 2 (N) Equip A	16	Act 2 (N) Junk	21	Act 2 (N) Good	2													0
Act 2 (N) H2H B	1					180	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2													0
Act 2 (N) H2H C	1					180	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2													0
Act 3 (N) H2H A	1					180	gld	21	Act 3 (N) Equip A	16	Act 3 (N) Junk	21	Act 3 (N) Good	2													0
Act 3 (N) H2H B	1					180	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2													0
Act 3 (N) H2H C	1					180	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2													0
Act 4 (N) H2H A	1					180	gld	21	Act 4 (N) Equip A	16	Act 4 (N) Junk	21	Act 4 (N) Good	2													0
Act 4 (N) H2H B	1					180	gld	21	Act 4 (N) Equip B	16	Act 4 (N) Junk	21	Act 4 (N) Good	2													0
Act 5 (N) H2H A	1					180	gld	21	Act 5 (N) Equip A	16	Act 5 (N) Junk	21	Act 5 (N) Good	2													0
Act 5 (N) H2H B	1					180	gld	21	Act 5 (N) Equip B	16	Act 5 (N) Junk	21	Act 5 (N) Good	2													0
Act 5 (N) H2H C	1					180	gld	21	Act 5 (N) Equip C	16	Act 5 (N) Junk	21	Act 5 (N) Good	2													0
Act 1 (H) H2H A	1					180	gld	21	Act 1 (H) Equip A	16	Act 1 (H) Junk	21	Act 1 (H) Good	2													0
Act 1 (H) H2H B	1					180	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2													0
Act 1 (H) H2H C	1					180	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2													0
Act 2 (H) H2H A	1					180	gld	21	Act 2 (H) Equip A	16	Act 1 (H) Junk	21	Act 2 (H) Good	2													0
Act 2 (H) H2H B	1					180	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2													0
Act 2 (H) H2H C	1					180	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2													0
Act 3 (H) H2H A	1					180	gld	21	Act 3 (H) Equip A	16	Act 1 (H) Junk	21	Act 3 (H) Good	2													0
Act 3 (H) H2H B	1					180	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2													0
Act 3 (H) H2H C	1					180	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2													0
Act 4 (H) H2H A	1					180	gld	21	Act 4 (H) Equip A	16	Act 1 (H) Junk	21	Act 4 (H) Good	2													0
Act 4 (H) H2H B	1					180	gld	21	Act 4 (H) Equip B	16	Act 1 (H) Junk	21	Act 4 (H) Good	2													0
Act 5 (H) H2H A	1					180	gld	21	Act 5 (H) Equip A	16	Act 1 (H) Junk	21	Act 5 (H) Good	2													0
Act 5 (H) H2H B	1					180	gld	21	Act 5 (H) Equip B	16	Act 1 (H) Junk	21	Act 5 (H) Good	2													0
Act 5 (H) H2H C	1					180	gld	21	Act 5 (H) Equip C	16	Act 1 (H) Junk	21	Act 5 (H) Good	2													0
Act 1 Cast A	1					180	gld	18	Act 1 Equip A	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic A	7											0
Act 1 Cast B	1					180	gld	18	Act 1 Equip B	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic B	7											0
Act 1 Cast C	1					180	gld	18	Act 1 Equip C	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic C	7											0
Act 2 Cast A	1					180	gld	18	Act 2 Equip A	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic A	7											0
Act 2 Cast B	1					180	gld	18	Act 2 Equip B	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic B	7											0
Act 2 Cast C	1					180	gld	18	Act 2 Equip C	15	Act 2 Junk	18	Act 3 Good	2	Act 2 Magic C	7											0
Act 3 Cast A	1					180	gld	18	Act 3 Equip A	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic A	7											0
Act 3 Cast B	1					180	gld	18	Act 3 Equip B	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic B	7											0
Act 3 Cast C	1					180	gld	18	Act 3 Equip C	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic C	7											0
Act 4 Cast A	1					180	gld	18	Act 4 Equip A	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic A	7											0
Act 4 Cast B	1					180	gld	18	Act 4 Equip B	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic B	7											0
Act 5 Cast A	1					180	gld	18	Act 5 Equip A	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic A	7											0
Act 5 Cast B	1					180	gld	18	Act 5 Equip B	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic B	7											0
Act 5 Cast C	1					180	gld	18	Act 5 Equip C	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic C	7											0
Act 1 (N) Cast A	1					180	gld	18	Act 1 (N) Equip A	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic A	7											0
Act 1 (N) Cast B	1					180	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7											0
Act 1 (N) Cast C	1					180	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7											0
Act 2 (N) Cast A	1					180	gld	18	Act 2 (N) Equip A	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic A	7											0
Act 2 (N) Cast B	1					180	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7											0
Act 2 (N) Cast C	1					180	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7											0
Act 3 (N) Cast A	1					180	gld	18	Act 3 (N) Equip A	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic A	7											0
Act 3 (N) Cast B	1					180	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7											0
Act 3 (N) Cast C	1					180	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7											0
Act 4 (N) Cast A	1					180	gld	18	Act 4 (N) Equip A	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic A	7											0
Act 4 (N) Cast B	1					180	gld	18	Act 4 (N) Equip B	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic B	7											0
Act 5 (N) Cast A	1					180	gld	18	Act 5 (N) Equip A	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic A	7											0
Act 5 (N) Cast B	1					180	gld	18	Act 5 (N) Equip B	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7											0
Act 5 (N) Cast C	1					180	gld	18	Act 5 (N) Equip C	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7											0
Act 1 (H) Cast A	1					180	gld	18	Act 1 (H) Equip A	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic A	7											0
Act 1 (H) Cast B	1					180	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7											0
Act 1 (H) Cast C	1					180	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7											0
Act 2 (H) Cast A	1					180	gld	18	Act 2 (H) Equip A	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic A	7											0
Act 2 (H) Cast B	1					180	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7											0
Act 2 (H) Cast C	1					180	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7											0
Act 3 (H) Cast A	1					180	gld	18	Act 3 (H) Equip A	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic A	7											0
Act 3 (H) Cast B	1					180	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7											0
Act 3 (H) Cast C	1					180	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7											0
Act 4 (H) Cast A	1					180	gld	18	Act 4 (H) Equip A	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic A	7											0
Act 4 (H) Cast B	1					180	gld	18	Act 4 (H) Equip B	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic B	7											0
Act 5 (H) Cast A	1					180	gld	18	Act 5 (H) Equip A	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic A	7											0
Act 5 (H) Cast B	1					180	gld	18	Act 5 (H) Equip B	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7											0
Act 5 (H) Cast C	1					180	gld	18	Act 5 (H) Equip C	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7											0
Act 1 Miss A	1					180	gld	18	Act 1 Equip A	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow A	6	Ammo	3									0
Act 1 Miss B	1					180	gld	18	Act 1 Equip B	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow B	6	Ammo	3									0
Act 1 Miss C	1					180	gld	18	Act 1 Equip C	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow C	6	Ammo	3									0
Act 2 Miss A	1					180	gld	18	Act 2 Equip A	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow A	6	Ammo	3									0
Act 2 Miss B	1					180	gld	18	Act 2 Equip B	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow B	6	Ammo	3									0
Act 2 Miss C	1					180	gld	18	Act 2 Equip C	13	Act 2 Junk	18	Act 3 Good	2	Act 2 Bow C	6	Ammo	3									0
Act 3 Miss A	1					180	gld	18	Act 3 Equip A	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow A	6	Ammo	3									0
Act 3 Miss B	1					180	gld	18	Act 3 Equip B	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow B	6	Ammo	3									0
Act 3 Miss C	1					180	gld	18	Act 3 Equip C	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow C	6	Ammo	3									0
Act 4 Miss A	1					180	gld	18	Act 4 Equip A	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow A	6	Ammo	3									0
Act 4 Miss B	1					180	gld	18	Act 4 Equip B	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow B	6	Ammo	3									0
Act 5 Miss A	1					180	gld	18	Act 5 Equip A	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow A	6	Ammo	3									0
Act 5 Miss B	1					180	gld	18	Act 5 Equip B	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3									0
Act 5 Miss C	1					180	gld	18	Act 5 Equip C	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3									0
Act 1 (N) Miss A	1					180	gld	18	Act 1 (N) Equip A	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3									0
Act 1 (N) Miss B	1					180	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3									0
Act 1 (N) Miss C	1					180	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3									0
Act 2 (N) Miss A	1					180	gld	18	Act 2 (N) Equip A	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3									0
Act 2 (N) Miss B	1					180	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3									0
Act 2 (N) Miss C	1					180	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3									0
Act 3 (N) Miss A	1					180	gld	18	Act 3 (N) Equip A	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3									0
Act 3 (N) Miss B	1					180	gld	18	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3									0
Act 3 (N) Miss C	1					180	gld	18	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3									0
Act 4 (N) Miss A	1					180	gld	18	Act 4 (N) Equip A	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3									0
Act 4 (N) Miss B	1					180	gld	18	Act 4 (N) Equip B	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3									0
Act 5 (N) Miss A	1					180	gld	18	Act 5 (N) Equip A	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3									0
Act 5 (N) Miss B	1					180	gld	18	Act 5 (N) Equip B	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3									0
Act 5 (N) Miss C	1					180	gld	18	Act 5 (N) Equip C	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3									0
Act 1 (H) Miss A	1					180	gld	18	Act 1 (H) Equip A	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3									0
Act 1 (H) Miss B	1					180	gld	18	Act 1 (H) Equip B	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3									0
Act 1 (H) Miss C	1					180	gld	18	Act 1 (H) Equip B	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3									0
Act 2 (H) Miss A	1					180	gld	18	Act 2 (H) Equip A	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3									0
Act 2 (H) Miss B	1					180	gld	18	Act 2 (H) Equip B	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3									0
Act 2 (H) Miss C	1					180	gld	18	Act 2 (H) Equip B	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3									0
Act 3 (H) Miss A	1					180	gld	18	Act 3 (H) Equip A	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow A	6	Ammo	3									0
Act 3 (H) Miss B	1					180	gld	18	Act 3 (H) Equip B	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3									0
Act 3 (H) Miss C	1					180	gld	18	Act 3 (H) Equip B	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3									0
Act 4 (H) Miss A	1					180	gld	18	Act 4 (H) Equip A	13	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Bow A	6	Ammo	3									0
Act 4 (H) Miss B	1					180	gld	18	Act 4 (H) Equip B	13	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Bow B	6	Ammo	3									0
Act 5 (H) Miss A	1					180	gld	18	Act 5 (H) Equip A	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow A	6	Ammo	3									0
Act 5 (H) Miss B	1					180	gld	18	Act 5 (H) Equip B	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3									0
Act 5 (H) Miss C	1					180	gld	18	Act 5 (H) Equip C	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3									0
Act 1 Wraith A	1					100	Act 1 Good	3	Act 1 Magic A	25																	0
Act 1 Wraith B	1					100	Act 1 Good	3	Act 1 Magic B	25																	0
Act 1 Wraith C	1					100	Act 1 Good	3	Act 1 Magic C	25																	0
Act 2 Wraith A	1					100	Act 2 Good	3	Act 2 Magic A	25																	0
Act 2 Wraith B	1					100	Act 2 Good	3	Act 2 Magic B	25																	0
Act 2 Wraith C	1					100	Act 3 Good	3	Act 2 Magic C	25																	0
Act 3 Wraith A	1					100	Act 3 Good	3	Act 3 Magic A	25																	0
Act 3 Wraith B	1					100	Act 3 Good	3	Act 3 Magic B	25																	0
Act 3 Wraith C	1					100	Act 3 Good	3	Act 3 Magic C	25																	0
Act 4 Wraith A	1					100	Act 4 Good	3	Act 4 Magic A	25																	0
Act 4 Wraith B	1					100	Act 4 Good	3	Act 4 Magic B	25																	0
Act 5 Wraith A	1					100	Act 5 Good	3	Act 5 Magic A	25																	0
Act 5 Wraith B	1					100	Act 5 Good	3	Act 5 Magic B	25																	0
Act 5 Wraith C	1					100	Act 5 Good	3	Act 5 Magic C	25																	0
Act 1 (N) Wraith A	1					100	Act 1 (N) Good	3	Act 1 (N) Magic A	25																	0
Act 1 (N) Wraith B	1					100	Act 1 (N) Good	3	Act 1 (N) Magic B	25																	0
Act 1 (N) Wraith C	1					100	Act 1 (N) Good	3	Act 1 (N) Magic B	25																	0
Act 2 (N) Wraith A	1					100	Act 2 (N) Good	3	Act 2 (N) Magic A	25																	0
Act 2 (N) Wraith B	1					100	Act 2 (N) Good	3	Act 2 (N) Magic B	25																	0
Act 2 (N) Wraith C	1					100	Act 2 (N) Good	3	Act 2 (N) Magic B	25																	0
Act 3 (N) Wraith A	1					100	Act 3 (N) Good	3	Act 3 (N) Magic A	25																	0
Act 3 (N) Wraith B	1					100	Act 3 (N) Good	3	Act 3 (N) Magic B	25																	0
Act 3 (N) Wraith C	1					100	Act 3 (N) Good	3	Act 3 (N) Magic B	25																	0
Act 4 (N) Wraith A	1					100	Act 4 (N) Good	3	Act 4 (N) Magic A	25																	0
Act 4 (N) Wraith B	1					100	Act 4 (N) Good	3	Act 4 (N) Magic B	25																	0
Act 5 (N) Wraith A	1					100	Act 5 (N) Good	3	Act 5 (N) Magic A	25																	0
Act 5 (N) Wraith B	1					100	Act 5 (N) Good	3	Act 5 (N) Magic B	25																	0
Act 5 (N) Wraith C	1					100	Act 5 (N) Good	3	Act 5 (N) Magic C	25																	0
Act 1 (H) Wraith A	1					100	Act 1 (H) Good	3	Act 1 (H) Magic A	25																	0
Act 1 (H) Wraith B	1					100	Act 1 (H) Good	3	Act 1 (H) Magic B	25																	0
Act 1 (H) Wraith C	1					100	Act 1 (H) Good	3	Act 1 (H) Magic B	25																	0
Act 2 (H) Wraith A	1					100	Act 2 (H) Good	3	Act 2 (H) Magic A	25																	0
Act 2 (H) Wraith B	1					100	Act 2 (H) Good	3	Act 2 (H) Magic B	25																	0
Act 2 (H) Wraith C	1					100	Act 2 (H) Good	3	Act 2 (H) Magic B	25																	0
Act 3 (H) Wraith A	1					100	Act 3 (H) Good	3	Act 3 (H) Magic A	25																	0
Act 3 (H) Wraith B	1					100	Act 3 (H) Good	3	Act 3 (H) Magic B	25																	0
Act 3 (H) Wraith C	1					100	Act 3 (H) Good	3	Act 3 (H) Magic B	25																	0
Act 4 (H) Wraith A	1					100	Act 4 (H) Good	3	Act 4 (H) Magic A	25																	0
Act 4 (H) Wraith B	1					100	Act 4 (H) Good	3	Act 4 (H) Magic B	25																	0
Act 5 (H) Wraith A	1					100	Act 5 (H) Good	3	Act 5 (H) Magic A	25																	0
Act 5 (H) Wraith B	1					100	Act 5 (H) Good	3	Act 5 (H) Magic B	25																	0
Act 5 (H) Wraith C	1					100	Act 5 (H) Good	3	Act 5 (H) Magic C	25																	0
Act 1 Citem A	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip A	37	Act 1 Good	3															0
